Fecha,Institución,Pacientes,Positivos,En_estudio
25/04/2020,IMSS,0,0,0
25/04/2020,Privados,0,0,0
26/04/2020,SSJ,0,0,0
26/04/2020,HCG,0,0,0
26/04/2020,ISSSTE,0,0,0
26/04/2020,IMSS,0,0,0
26/04/2020,Privados,0,0,0
27/04/2020,SSJ,0,0,0
27/04/2020,HCG,0,0,0
27/04/2020,ISSSTE,0,0,0
27/04/2020,IMSS,0,0,0
27/04/2020,Privados,0,0,0
28/04/2020,SSJ,0,0,0
28/04/2020,HCG,0,0,0
28/04/2020,ISSSTE,0,0,0
28/04/2020,IMSS,0,0,0
28/04/2020,Privados,0,0,0
29/04/2020,SSJ,0,0,0
29/04/2020,HCG,0,0,0
29/04/2020,ISSSTE,0,0,0
29/04/2020,IMSS,0,0,0
29/04/2020,Privados,0,0,0
30/04/2020,SSJ,0,0,0
30/04/2020,HCG,0,0,0
30/04/2020,ISSSTE,0,0,0
30/04/2020,IMSS,0,0,0
30/04/2020,Privados,0,0,0
01/05/2020,SSJ,0,0,0
01/05/2020,HCG,0,0,0
01/05/2020,ISSSTE,0,0,0
01/05/2020,IMSS,0,0,0
01/05/2020,Privados,0,0,0
02/05/2020,SSJ,0,0,0
02/05/2020,HCG,0,0,0
02/05/2020,ISSSTE,0,0,0
02/05/2020,IMSS,0,0,0
02/05/2020,Privados,0,0,0
03/05/2020,SSJ,0,0,0
03/05/2020,HCG,0,0,0
03/05/2020,ISSSTE,0,0,0
03/05/2020,IMSS,0,0,0
03/05/2020,Privados,0,0,0
04/05/2020,SSJ,0,0,0
04/05/2020,HCG,0,0,0
04/05/2020,ISSSTE,0,0,0
04/05/2020,IMSS,0,0,0
04/05/2020,Privados,0,0,0
05/05/2020,SSJ,0,0,0
05/05/2020,HCG,0,0,0
05/05/2020,ISSSTE,0,0,0
05/05/2020,IMSS,0,0,0
05/05/2020,Privados,0,0,0
06/05/2020,SSJ,0,0,0
06/05/2020,HCG,0,0,0
06/05/2020,ISSSTE,0,0,0
06/05/2020,IMSS,0,0,0
06/05/2020,Privados,0,0,0
07/05/2020,SSJ,0,0,0
07/05/2020,HCG,0,0,0
07/05/2020,ISSSTE,0,0,0
07/05/2020,IMSS,0,0,0
07/05/2020,Privados,0,0,0
08/05/2020,SSJ,0,0,0
08/05/2020,HCG,0,0,0
08/05/2020,ISSSTE,0,0,0
08/05/2020,IMSS,0,0,0
08/05/2020,Privados,0,0,0
09/05/2020,SSJ,0,0,0
09/05/2020,HCG,0,0,0
09/05/2020,ISSSTE,0,0,0
09/05/2020,IMSS,0,0,0
09/05/2020,Privados,0,0,0
10/05/2020,SSJ,0,0,0
10/05/2020,HCG,0,0,0
10/05/2020,ISSSTE,0,0,0
10/05/2020,IMSS,0,0,0
10/05/2020,Privados,0,0,0
11/05/2020,SSJ,0,0,0
11/05/2020,HCG,0,0,0
